2,2024,The coffin in the mountain,2014,China mainland,,,5
7,2024,Gangubai Kathiawadi,2022,India,,,5
15,2023,Barbie,2023,US,,,5
21,2023,The whale,2022,US,,,5
23,2023,Home alone,1990,US,,,5
24,2023,To all the boys I've loved before,2018,US,,,5
25,2022,Joyland,2022,Pakistan,,,5
27,2022,Myth of love,2021,China mainland,,,5
32,2022,Decision to leave,2022,South Korea,,,5
36,2022,Source code,2011,us,,,5
37,2022,Life of Pi,2012,us,,,5
38,2022,The reader,2008,us,,,5
39,2022,Marriage story,2019,us,,,5
41,2022,Turning red,2022,us,,,5
47,2021,Spirited Away,2001,Japan,,,5
50,2021,A sun,2019,China Taiwan,,,5
51,2021,The book of fish,2021,South Korea,,,5
54,2021,Moonlit winter,2019,South Korea,,,5
56,2021,Freier fall,2013,Germany,,,5
57,2021,Oasis,2002,South Korea,,,5
59,2021,Lan Yu,2001,Hong Kong,,,5
60,2021,Green snake,1993,Hong Kong,,,5
63,2021,Saturday fiction,2019,China mainland,,,5
64,2021,The man from nowhere,2010,South Korea,,,5
64,2021,Avatar,2009,US,,,5
64,2021,Dial M for murder,1954,US,,,5
64,2021,Identity,2003,us,,,5
64,2021,Nomadland,2020,US,,,5
